Date,Open,High,Low,Close,Adj Close,Volume
2019-04-01,297.0,299.20001220703125,296.54998779296875,297.25,247.8744354248047,6203276
2019-04-02,297.3999938964844,300.0,294.6499938964844,297.8999938964844,248.41647338867188,9849417
2019-04-03,298.0,299.0,295.1499938964844,296.1499938964844,246.95716857910156,9064767
2019-04-04,296.0,297.29998779296875,293.75,294.79998779296875,245.8313751220703,6965053
2019-04-05,295.04998779296875,296.3999938964844,292.6499938964844,294.54998779296875,245.62289428710938,7806991
2019-04-08,294.6499938964844,295.0,291.70001220703125,292.75,244.1219024658203,5288853
2019-04-09,292.5,296.70001220703125,292.25,296.29998779296875,247.08221435546875,6175672
2019-04-10,296.04998779296875,296.54998779296875,293.5,294.70001220703125,245.7480010986328,5334642
2019-04-11,294.54998779296875,297.45001220703125,293.0,296.3999938964844,247.1655731201172,10764968
2019-04-12,296.6499938964844,307.3999938964844,295.6000061035156,305.75,254.9625244140625,21818291
2019-04-15,307.8999938964844,310.0,304.3500061035156,305.5,254.7540283203125,12612414
2019-04-16,306.79998779296875,309.95001220703125,306.1499938964844,307.20001220703125,256.171630859375,9746168
2019-04-18,308.25,308.25,303.54998779296875,304.3999938964844,253.83676147460938,8838122
2019-04-22,303.8500061035156,305.5,301.04998779296875,301.79998779296875,251.66860961914062,6672456
2019-04-23,302.1499938964844,304.79998779296875,301.54998779296875,303.3999938964844,253.00283813476562,7496038
2019-04-24,303.3999938964844,307.20001220703125,298.5,306.45001220703125,255.54624938964844,11447878
2019-04-25,307.25,309.79998779296875,302.0,304.1499938964844,253.62828063964844,23240675
2019-04-26,304.6000061035156,306.3999938964844,302.54998779296875,304.54998779296875,253.96182250976562,4654775
2019-04-30,304.54998779296875,307.54998779296875,299.5,301.3500061035156,251.29335021972656,11163210
2019-05-02,301.1000061035156,306.5,300.6000061035156,305.0,254.3370819091797,7493271
2019-05-03,304.25,307.45001220703125,303.29998779296875,304.25,253.71165466308594,5885895
2019-05-06,304.0,307.5,300.75,307.0,256.0048828125,6737627
2019-05-07,308.25,309.5,300.8500061035156,301.8999938964844,251.7520294189453,8655871
2019-05-08,300.0,303.3999938964844,298.6499938964844,300.6499938964844,250.70965576171875,7876031
2019-05-09,299.3999938964844,301.29998779296875,296.3500061035156,299.8500061035156,250.04257202148438,10223616
2019-05-10,300.0,300.45001220703125,296.8999938964844,297.75,248.29136657714844,6904657
